Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
comp-popcorn-set,Mini Popcorn Starter Set,"Individual silicone popcorn popper, 4 oz popcorn kernels with wooden scoop, and 0.9 oz popcorn seasoning.",InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-POPCORN-SET,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-firstaid,Mini First Aid Kit,"15 adhesive bandages, two 5x7 cleansing towels, two Neosporin packs, and two hydrocortisone packs in a sturdy, reusable case.",InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-FIRSTAID,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-dinnerware,Wheatgrass Bowl & Plate Set with Utensils,"Microwave-safe wheatgrass bowl and plate with a zippered pouch of stainless steel utensils (fork, butter knife, spoon, chopsticks) and mini salt-and-pepper shakers.",InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-DINNERWARE,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-wipes,Clorox Disinfecting Travel Wipes,Clorox Disinfecting on-the-go travel wipes.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-WIPES,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-command-strips,Command Strips (4),Four Command strips for hanging posters.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-COMMAND,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-multitool,Wallet Multi-Tool,A slim wallet multi-tool.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-MULTITOOL,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-room-spray,Citrus Room & Linen Spray,Invigorating citrus room and linen spray.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-ROOMSPRAY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-fidget,Fidget Toy,A fidget toy.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-FIDGET,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-sweet,Sweet Snacks,An assortment of sweet snacks.,InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-SNACKS-SWEET,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-welcome,Academic Coaching Cards — Welcome Week,"Cards for reading a syllabus, creating a roommate contract, and building a solid foundation of healthy habits.",InstaMom University,Component,"component,welcome",FALSE,Title,Default Title,COMP-CARDS-WELCOME,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-warmie,Lavender Warmie (Microwavable Plush),PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,homesick",FALSE,Title,Default Title,COMP-WARMIE,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-comfort,Comfort Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,homesick",FALSE,Title,Default Title,COMP-SNACKS-COMFORT,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-homesick,Coaching Cards — Campus Engagement,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,homesick",FALSE,Title,Default Title,COMP-CARDS-HOMESICK,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-planner,Study & Workload Planning Supplies,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-PLANNER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-timer,Focus Timer,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-TIMER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-study,Study Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-SNACKS-STUDY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-study,Coaching Cards — Study Strategies,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-CARDS-STUDY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-tissues,Soft Facial Tissues,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-TISSUES,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-throat-drops,Throat Drops,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-THROATDROPS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-soup,Soup,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-SOUP,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-crackers,Crackers,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-CRACKERS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-tea,Tea,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-TEA,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-honey-bear,Mini Honey Bear,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-HONEYBEAR,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-sick,Coaching Cards — Communicating with Professors,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-CARDS-SICK,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-sleep-comforts,Sleep-Friendly Comforts,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SLEEP,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-hydration,Hydration Helpers,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-HYDRATION,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-supplies-finals,School Supplies (Finals),PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SUPPLIES-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-finals,Late-Night Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SNACKS-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-finals,Coaching Cards — Finish Strong,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-CARDS-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-air-spray,Air Freshener Spray,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-AIRSPRAY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-diffuser,Diffuser,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-DIFFUSER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-sneaker-balls,Sneaker Balls,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-SNEAKERBALLS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-mints-gum,Mints & Gum,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-MINTS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-variety,Assorted Snack Selection,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,snack",FALSE,Title,Default Title,COMP-SNACKS-VARIETY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-seasonal-goodies,Seasonal Goodies (Rotating),PLACEHOLDER auto-extracted from marketing copy — confirm exact items per season.,InstaMom University,Component,"component,needs-review,seasonal",FALSE,Title,Default Title,COMP-SEASONAL-GOODIES,shopify,0,deny,manual,0.00,TRUE,TRUE,active
